Year,Mo,Dy,Tsu,Eq,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,VEI,Agent,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Impact
1672,8,4,,,Merapi,Java,Indonesia,-7.54.00,117.26.00,2910,Stratovolcano,3,P,3000,4,,,,,,,,,4
1673,5,20,312,,Gamkonora,Halmahera-Indonesia,Indonesia,1.38,127.53.00,1635,Stratovolcano,5,W,,,,,,,,1,,1,2
1677,11,22,,,La Palma,Canary Is,Spain,28.57.00,-18.23.00,2426,Stratovolcano,2,G,1,1,,,,,,,,,1
1682,8,12,,,Vesuvius,Italy,Italy,53.41.00,21.06,1281,Complex volcano,3,,4,1,,,,,,,,,1
1684,12,,,,Grimsvotn,Iceland-NE,Iceland,70.56.00,-22.16.00,1719,Caldera,2,F,1,1,,,,,,,,,1
1690,,,,,Guntur,Java,Indonesia,-9.23.00,121.01.00,2251,Complex volcano,3,,,1,,,,,,,,,1
1692,6,4,,,Serua,Banda Sea,Pacific Ocean,-11.12.00,130.17.00,608,Stratovolcano,4,L,,2,,,,,,,,,2
1694,11,20,,,Banda Api,Banda Sea,Pacific Ocean,-12.43.00,143.41.00,596,Caldera,3,,,2,,,,,,,,,2
1698,,,,,Ciremai,Java,Indonesia,-20.55.00,114.48.00,3039,Stratovolcano,3,,,1,,,,,,,,,1
1698,,,,,Cotopaxi,Ecuador,Ecuador,-11.17.00,-85.16.00,5911,Stratovolcano,3,M,,2,,,,,,,,,2
1706,5,5,375,,Tenerife,Canary Is,Spain,32.31.00,-26.41.00,3715,Stratovolcano,2,,,,,,,,,3,,,3
1707,12,16,,1178,Fujisan,Honshu-Japan,Japan,41.01.00,150.08.00,3776,Stratovolcano,4,,,1,,,,,,1,75,1,3
1711,12,11,,,Awu,Sangihe Is-Indonesia,Indonesia,14.29,132.27.00,1318,Stratovolcano,3,P,3000,4,,,,,,,,,4
1712,1,15,,,Bardarbunga,Iceland-NE,Iceland,74.33.00,-25.36.00,2000,Stratovolcano,2,,,,,,,,,1,,,1
1716,7,20,,,Kelud,Java,Indonesia,-22.35.00,117.14.00,1730,Stratovolcano,2,M,,1,,,,,,,,,1
1716,9,24,387,1205,Taal,Luzon-Philippines,Philippines,14.11,136.38.00,311,Stratovolcano,4,,,1,,,,,,,,,1
1716,10,5,,,Bardarbunga,Iceland-NE,Iceland,74.33.00,-25.36.00,2000,Stratovolcano,2,,,,,,,,,1,,,1
1716,11,9,,,Kirishimayama,Kyushu-Japan,Japan,46.34.00,144.22.00,1700,Shield volcano,3,,1,1,,,31,1,,,,,2
1717,2,7,,,Kirishimayama,Kyushu-Japan,Japan,46.34.00,144.22.00,1700,Shield volcano,3,,1,1,,,30,1,,,,,2
1717,8,4,,,Bardarbunga,Iceland-NE,Iceland,74.33.00,-25.36.00,2000,Stratovolcano,3,,,,,,,,,1,,,1
1717,8,27,6032,10893,Fuego,Guatemala,Guatemala,21.53,-91.28.00,3763,Stratovolcano,4,S,,,,,,,,1,,,1
1718,2,1,,,Pico,Azores,Portugal,38.47.00,-28.4,2351,Stratovolcano,2,,2,1,,,,,,,,,1
1721,5,11,,,Katla,Iceland-S,Iceland,73.33.00,-20.23.00,1490,Subglacial volcano,5,,,,,,,,,1,,,1
1721,6,22,,,Asamayama,Honshu-Japan,Japan,42.46.00,146.43.00,2568,Complex volcano,1,T,15,1,,,,,,,,,1
1726,2,1,,,Bardarbunga,Iceland-NE,Iceland,74.33.00,-25.36.00,2000,Stratovolcano,1,,,,,,,,,1,,,1
1727,8,3,,,Oraefajokull,Iceland-SE,Iceland,64,-17.05.00,2010,Stratovolcano,4,F,3,1,,,,,,,,,1
1729,2,1,,,Bardarbunga,Iceland-NE,Iceland,74.33.00,-25.36.00,2000,Stratovolcano,1,,,,,,,,,1,,,1
1729,6,30,,,Krafla,Iceland-NE,Iceland,76.55.00,-28.08.00,800,Caldera,2,,,,,,,,,1,,,1
1730,9,1,,,Lanzarote,Canary Is,Spain,29.03.00,-14.03.00,670,Fissure vent,2,,,1,,,,,,,,,1
1730,,,,,Raung,Java,Indonesia,-9.59.00,114.56.00,3260,Stratovolcano,3,"M,T",,3,,,,,,,,,3
1730,,,,,Tseax River Cone,Canada,Canada,56.51.00,-142.59.00,612,Pyroclastic cone,,G,,1,,,,,,,,,1
1737,5,20,,,Vesuvius,Italy,Italy,53.41.00,21.06,1281,Complex volcano,3,T,2,1,,,,,,2,,,3
1742,6,15,,,Cotopaxi,Ecuador,Ecuador,-11.17.00,-85.16.00,5911,Stratovolcano,3,M,,3,,,,,,3,,,6
1742,12,9,,,Cotopaxi,Ecuador,Ecuador,-11.17.00,-85.16.00,5911,Stratovolcano,3,M,,3,,,,,,3,,,6
1749,8,11,431,1304,Taal,Luzon-Philippines,Philippines,14.11,136.38.00,311,Stratovolcano,3,,,1,,,,,,1,,,2
1753,10,15,,,Grimsvotn,Iceland-NE,Iceland,70.56.00,-22.16.00,1719,Caldera,2,,,,,,,,,1,,,1
1754,11,28,2853,1328,Taal,Luzon-Philippines,Philippines,14.11,136.38.00,311,Stratovolcano,4,"W,T",,1,,,,,,4,,4,9
1755,10,17,,,Katla,Iceland-S,Iceland,73.33.00,-20.23.00,1490,Subglacial volcano,4,E,2,1,,,,,,,,,1
1760,,,,,Kie Besi,Halmahera-Indonesia,Indonesia,0.32,127.4,1357,Stratovolcano,4,M,2000,4,,,,,,,,,4
1762,,,,,Klyuchevskoy,Kamchatka,Russia,56.56.00,170.42.00,4754,Stratovolcano,2,,,1,,,,,,,,,1
1766,4,5,,,Hekla,Iceland-S,Iceland,79.23.00,-30.06.00,1490,Stratovolcano,4,,,,,,,,,1,,,1
1766,7,20,,,Mayon,Luzon-Philippines,Philippines,17.17,134.25.00,2462,Stratovolcano,3,m,49,1,,,,,,,,,1
1768,4,4,,,Cotopaxi,Ecuador,Ecuador,-11.17.00,-85.16.00,5911,Stratovolcano,4,M,,3,,,,,,3,,,6
1772,5,9,504,,Gamalama,Halmahera-Indonesia,Indonesia,1.21,132.32.00,1714,Stratovolcano,3,T,35,1,,,,,,,,,1
1772,8,12,,,Papandayan,Java,Indonesia,-7.32.00,108.13.00,2665,Stratovolcano,3,A,2957,4,,,,,,,,3,7
1773,2,2,,,Gamalama,Halmahera-Indonesia,Indonesia,1.21,132.32.00,1714,Stratovolcano,2,I,,2,,,,,,,,,2
1775,,,,,Gamalama,Halmahera-Indonesia,Indonesia,1.21,132.32.00,1714,Stratovolcano,3,"P,I",1300,4,,,,,,,,,4
1775,,,,,Lokon-Empung,Sulawesi-Indonesia,Indonesia,6.58,137.12.00,1580,Stratovolcano,3,,,1,,,,,,,,,1
1778,,,,,Raikoke,Kuril Is,Russia,52.52.00,153.25.00,551,Stratovolcano,4,T,15,1,,,,,,,,,1
1779,8,8,,,Vesuvius,Italy,Italy,53.41.00,21.06,1281,Complex volcano,3,,,1,,,,,,,,,1
1779,11,8,,,Aira,Kyushu-Japan,Japan,40.37.00,140.59.00,1117,Stratovolcano,4,"T,W,I",153,3,,,,,,,,,3
1780,2,9,,,Aira,Kyushu-Japan,Japan,40.37.00,140.59.00,1117,Stratovolcano,4,F,,3,,,,,,,,,3
1780,7,27,,,Aogashima,Izu Is-Japan,Japan,39.38.00,151.39.00,423,Stratovolcano,3,,7,1,,,,,,,,1,2
1781,4,11,529,,Aira,Kyushu-Japan,Japan,40.37.00,140.59.00,1117,Stratovolcano,4,W,23,1,,,,,,,,,1
1783,4,10,,,Aogashima,Izu Is-Japan,Japan,39.38.00,151.39.00,423,Stratovolcano,3,T,7,1,,,,,,,61,2,3
1783,8,5,,,Asamayama,Honshu-Japan,Japan,42.46.00,146.43.00,2568,Complex volcano,4,"F,P,I",1491,4,,,,,,,,,4
1784,7,,,,Coropuna,Peru,Peru,-15.52.00,-73.05.00,6377,Stratovolcano,,,,,,,,,,1,,,1
1784,,,,,Hualalai,Hawaiian Is,United States,30.32.00,-156.27.00,2523,Shield volcano,0,L,,1,,,,,,,,,1
1785,4,18,,,Aogashima,Izu Is-Japan,Japan,39.38.00,151.39.00,423,Stratovolcano,3,,135,3,,,,,,,,,3
1786,,,,,Dieng Volcanic Complex,Java,Indonesia,-7.2,123.39.00,2565,Complex volcano,2,A,38,1,,,,,,,,2,3
1789,,,,,Izu-Oshima,Izu Is-Japan,Japan,46.04.00,145.34.00,746,Stratovolcano,2,T,,1,,,,,,,,,1
1790,11,,,,Kilauea,Hawaiian Is,United States,26.01.00,-159.47.00,1222,Shield volcano,4,P,5405,4,,,,,,,,,4
1792,5,21,568,1515,Unzendake,Kyushu-Japan,Japan,44.41.00,134.59.00,1483,Complex volcano,2,"W,A",,1,,,,,,,,,1
1794,6,15,,,Vesuvius,Italy,Italy,53.41.00,21.06,1281,Complex volcano,3,"M,L,T,G",400,3,,,,,,3,,,6
1800,10,8,,,Guntur,Java,Indonesia,-9.23.00,121.01.00,2251,Complex volcano,,M,,3,,,,,,,,,3
1800,10,30,,,Mayon,Luzon-Philippines,Philippines,17.17,134.25.00,2462,Stratovolcano,2,,,1,,,,,,,,,1
1800,,,,,Kyejo,Africa-E,Tanzania,-12.49.00,46.12.00,2176,Stratovolcano,2,L,,3,,,,,,3,,,6
1800,,,,,St. Helens,US-Washington,United States,46.2,-122.18.00,2549,Stratovolcano,5,I,,3,,,,,,,,,3
1800,,,,,Hualalai,Hawaiian Is,United States,30.32.00,-156.27.00,2523,Shield volcano,0,L,2,1,,,,,,,,,1
1801,8,14,,,Chokaisan,Honshu-Japan,Japan,40.39.00,140.49.00,2236,Stratovolcano,2,T,8,1,,,,,,,,,1
1803,7,4,,,Asamayama,Honshu-Japan,Japan,42.46.00,146.43.00,2568,Complex volcano,2,,,1,,,,,,,,,1
1803,11,7,,,Asamayama,Honshu-Japan,Japan,42.46.00,146.43.00,2568,Complex volcano,2,T,,1,,,,,,,,,1
1804,,,,,Shikotsu,Hokkaido-Japan,Japan,53.28.00,141.38.00,1320,Caldera,3,,,3,,,,,,,,,3
1805,8,11,,,Vesuvius,Italy,Italy,53.41.00,21.06,1281,Complex volcano,2,,4,1,,,,,,,,,1
1808,5,1,,,Sao Jorge,Azores,Portugal,39.05.00,-28.08.00,1053,Fissure vent,1,L,9,1,,,,,,,,,1
1812,4,27,,,Soufriere St. Vincent,W Indies,St. Vincent & the Grenadines,13.33,-61.18.00,1220,Stratovolcano,4,"T, m",56,2,,,,,,1,,1,4
1812,8,6,,,Awu,Sangihe Is-Indonesia,Indonesia,14.29,132.27.00,1318,Stratovolcano,3,"P,M",953,3,,,,,,,,,3
1814,2,1,,,Mayon,Luzon-Philippines,Philippines,17.17,134.25.00,2462,Stratovolcano,4,"P,M,E",1200,4,,,,,,3,,3,10
1815,4,10,613,,Tambora,Lesser Sunda Is,Indonesia,-8.25.00,118,2850,Stratovolcano,7,"P,W,A,I",11000,4,,,,4,,4,,4,16
1816,7,5,,,Asosan,Kyushu-Japan,Japan,46.45.00,132.25.00,1592,Caldera,2,T,1,1,,,,,,,,,1
1817,1,24,,,Ijen,Java,Indonesia,-8.58.00,118.02.00,2769,Stratovolcano,2,M,,2,,,,,,,90,2,4
1817,,,,,Raung,Java,Indonesia,-9.59.00,114.56.00,3260,Stratovolcano,4,,,1,,,,,,,,,1
1818,2,5,,,Colima,Mexico,Mexico,27.34.00,-104.02.00,3850,Stratovolcano,4,,,1,,,,,,,,,1
1820,6,11,,,Banda Api,Banda Sea,Pacific Ocean,-12.43.00,143.41.00,596,Caldera,2,,,1,,,,,,,,,1
1822,3,9,,,Toya,Hokkaido-Japan,Japan,51.04.00,153.59.00,733,Stratovolcano,4,P,50,1,,,53,2,,,,2,5
1822,10,8,,,Galunggung,Java,Indonesia,-7.25.00,108.58.00,2168,Stratovolcano,5,"P,M",4011,4,,,,,,3,,3,10
1822,12,27,,,Merapi,Java,Indonesia,-7.54.00,117.26.00,2910,Stratovolcano,3,,100,2,,,,2,,3,,3,10
1823,2,,,,Kilauea,Hawaiian Is,United States,26.01.00,-159.47.00,1222,Shield volcano,0,L,,1,,,,,,,,,1
1825,,,,,Balbi,Bougainville-SW Paci,Papua New Guinea,-20.16.00,155.01.00,2715,Stratovolcano,,P,,3,,,,,,,,,3
1826,10,11,,,Dieng Volcanic Complex,Java,Indonesia,-7.2,123.39.00,2565,Complex volcano,2,,,2,,,,,,,,,2
1826,10,13,,,Kelud,Java,Indonesia,-22.35.00,117.14.00,1730,Stratovolcano,4,M,,1,,,65,2,,3,,3,9
1826,10,,,,Asosan,Kyushu-Japan,Japan,46.45.00,132.25.00,1592,Caldera,2,T,,3,,,,,,,,,3
1829,,,,,Guntur,Java,Indonesia,-9.23.00,121.01.00,2251,Complex volcano,2,,,3,,,,,,,,,3
1832,11,1,,,Etna,Italy,Italy,49.28.00,30.39.00,3357,Stratovolcano,2,L,,2,,,,,,,,,2
1832,12,25,,,Merapi,Java,Indonesia,-7.54.00,117.26.00,2910,Stratovolcano,2,,32,1,,,,,,,,2,3
1833,11,24,,,Kaba,Sumatra,Indonesia,-11.42.00,112.15.00,1940,Stratovolcano,2,M,126,3,,,,,,,,,3
1835,1,20,,,Cosiguina,Nicaragua,Nicaragua,13.38,-87.57.00,872,Stratovolcano,5,"G,I",,1,,,,,,,,,1
1835,11,1,,1787,Banda Api,Banda Sea,Pacific Ocean,-12.43.00,143.41.00,596,Caldera,,,,3,,,,,,2,,2,7
1838,2,26,,,Gamalama,Halmahera-Indonesia,Indonesia,1.21,132.32.00,1714,Stratovolcano,2,T,4,1,,,,,,,,,1
1840,2,2,718,,Gamalama,Halmahera-Indonesia,Indonesia,1.21,132.32.00,1714,Stratovolcano,3,,,,,,,,,1,,,1
1840,5,30,714,,Kilauea,Hawaiian Is,United States,26.01.00,-159.47.00,1222,Shield volcano,0,,,,,,,,,1,,,1
